Code,ICB24CD,System,Type_1_Departments_-_Major_A&E,Type_2_Departments_-_Single_Specialty,Type_3_Departments_-_Other_A&E/Minor_Injury_Unit,Total_attendances,Type_1_Departments_-_Major_A&E,Type_2_Departments_-_Single_Specialty,Type_3_Departments_-_Other_A&E/Minor_Injury_Unit,Total_Attendances_<_4_hours,Type_1_Departments_-_Major_A&E,Type_2_Departments_-_Single_Specialty,Type_3_Departments_-_Other_A&E/Minor_Injury_Unit,Total_Attendances_>_4_hours,Percentage_in_4_hours_or_less_(all),Percentage_in_4_hours_or_less_(type_1),Percentage_in_4_hours_or_less_(type_2),Percentage_in_4_hours_or_less_(type_3),Emergency_Admissions_via_Type_1_A&E,Emergency_Admissions_via_Type_2_A&E,Emergency_Admissions_via_Type_3_and_4_A&E,Total_Emergency_Admissions_via_A&E,Other_Emergency_admissions_(i.e_not_via_A&E),Total_Emergency_Admissions,Number_of_patients_spending_>4_hours_from_decision_to_admit_to_admission,Number_of_patients_spending_>12_hours_from_decision_to_admit_to_admission
QOX,E54000040,"NHS Bath And North East Somerset, Swindon And Wiltshire Integrated Care Board",19808,345,11109,31262,10702,345,10474,21521,9106,0,635,9741,1,1,1,1,6589,0,15,6604,4303,10907,2537,457
QHG,E54000024,"NHS Bedfordshire, Luton And Milton Keynes Integrated Care Board",25601,0,15984,41585,15849,0,15958,31807,9752,0,26,9778,1,1,-,1,7061,0,0,7061,2507,9568,645,2
QHL,E54000055,NHS Birmingham And Solihull Integrated Care Board,39555,373,15578,55506,25247,373,15510,41130,14308,0,68,14376,1,1,1,1,11148,0,0,11148,7468,18616,4453,1694
QUY,E54000039,"NHS Bristol, North Somerset And South Gloucestershire Integrated Care Board",24682,2421,9122,36225,16147,2284,8791,27222,8535,137,331,9003,1,1,1,1,7277,9,0,7286,3862,11148,2007,410
QU9,E54000044,"NHS Buckinghamshire, Oxfordshire And Berkshire West Integrated Care Board",36646,5575,15222,57443,24249,5519,14777,44545,12397,56,445,12898,1,1,1,1,11762,946,48,12756,5949,18705,1569,352
QUE,E54000056,NHS Cambridgeshire And Peterborough Integrated Care Board,26488,0,11098,37586,15958,0,10839,26797,10530,0,259,10789,1,1,-,1,6552,0,49,6601,1787,8388,2416,1117
QYG,E54000008,NHS Cheshire And Merseyside Integrated Care Board,71307,3280,48556,123143,38665,3176,47394,89235,32642,104,1162,33908,1,1,1,1,21898,92,0,21990,7579,29569,9193,4470
QT6,E54000036,NHS Cornwall And The Isles Of Scilly Integrated Care Board,6655,0,11805,18460,3812,0,11320,15132,2843,0,485,3328,1,1,-,1,2320,0,64,2384,1516,3900,1019,545
QWU,E54000018,NHS Coventry And Warwickshire Integrated Care Board,27678,1648,7661,36987,18468,1567,7598,27633,9210,81,63,9354,1,1,1,1,4432,47,41,4520,1110,5630,1315,570
QHM,E54000050,NHS North East And North Cumbria Integrated Care Board,74098,2999,66113,143210,43515,2902,65448,111865,30583,97,665,31345,1,1,1,1,24431,48,844,25323,10615,35938,5247,390
QJK,E54000037,NHS Devon Integrated Care Board,29654,123,17098,46875,14938,119,16937,31994,14716,4,161,14881,1,1,1,1,8787,0,0,8787,4865,13652,2692,925
QVV,E54000041,NHS Dorset Integrated Care Board,18880,0,9065,27945,11513,0,9063,20576,7367,0,2,7369,1,1,-,1,6089,2,0,6091,3024,9115,1388,243
QMF,E54000029,NHS North East London Integrated Care Board,48950,3360,39034,91344,30597,2972,37239,70808,18353,388,1795,20536,1,1,1,1,13827,2,35,13864,1923,15787,3727,1751
QNQ,E54000034,NHS Frimley Integrated Care Board,22763,1000,12113,35876,13355,1000,11867,26222,9408,0,246,9654,1,1,1,1,6537,0,0,6537,147,6684,1760,325
QR1,E54000043,NHS Gloucestershire Integrated Care Board,14045,0,8690,22735,8818,0,8549,17367,5227,0,141,5368,1,1,-,1,2963,0,0,2963,2671,5634,783,281
QOP,E54000057,NHS Greater Manchester Integrated Care Board,87511,3524,35037,126072,51044,3377,33901,88322,36467,147,1136,37750,1,1,1,1,22678,131,722,23531,6005,29536,9336,2826
QRL,E54000042,NHS Hampshire And Isle Of Wight Integrated Care Board,39538,2710,24848,67096,24816,2603,24041,51460,14722,107,807,15636,1,1,1,1,11713,23,62,11798,5597,17395,2878,1286
QE1,E54000048,NHS Lancashire And South Cumbria Integrated Care Board,44150,0,30892,75042,27118,0,30096,57214,17032,0,796,17828,1,1,-,1,12849,0,202,13051,5081,18132,5283,2449
QGH,E54000019,NHS Herefordshire And Worcestershire Integrated Care Board,19853,1130,6099,27082,10114,1130,6013,17257,9739,0,86,9825,1,1,1,1,4181,0,0,4181,1021,5202,2945,1434
QM7,E54000025,NHS Hertfordshire And West Essex Integrated Care Board,24995,0,22777,47772,16345,0,22298,38643,8650,0,479,9129,1,1,-,1,8325,0,2,8327,1260,9587,1926,401
QOQ,E54000051,NHS Humber And North Yorkshire Integrated Care Board,35535,367,31189,67091,17921,367,29823,48111,17614,0,1366,18980,1,1,1,1,15544,0,0,15544,4710,20254,4399,1824
QJ2,E54000058,NHS Derby And Derbyshire Integrated Care Board,28967,0,24721,53688,16393,0,24203,40596,12574,0,518,13092,1,1,-,1,6034,0,39,6073,2143,8216,2596,811
QKS,E54000032,NHS Kent And Medway Integrated Care Board,54596,0,42676,97272,38568,0,41458,80026,16028,0,1218,17246,1,1,-,1,13001,0,716,13717,1796,15513,4374,2027
